sale_id,date,product_id,region_id,channel_id,units_sold,revenue,discount
1,2024-01-29,1061,1001,794130,10,3000.0,0.0
2,2024-09-01,1022,1029,678490,1,950.0,0.0
3,2022-05-21,1191,1039,606020,5,750.0,0.0
4,2024-12-25,1029,1011,240932,1,800.0,0.0
5,2024-04-17,1123,1022,757135,1,200.0,0.0
6,2020-05-30,1153,1024,606020,1,200.0,0.0
7,2020-05-25,1200,1032,554605,1,100.0,0.0
8,2022-12-22,1077,1033,728312,1,500.0,0.0
9,2024-08-06,1006,1020,606020,1,1000.0,0.0
10,2022-10-27,1140,1020,636916,3,900.0,0.0
11,2024-07-21,1036,1026,387010,1,750.0,0.0
12,2024-12-23,1003,1003,387010,1,800.0,0.0
13,2024-10-06,1062,1009,794130,1,600.0,0.0
14,2024-04-20,1059,1001,794130,1,350.0,0.0
15,2023-08-01,1064,1024,765544,1,350.0,0.0
16,2022-02-13,1144,1019,483036,4,1200.0,0.0
17,2024-04-12,1081,1012,554605,1,600.0,0.0
18,2024-07-14,1107,1027,483036,2,700.0,0.0
19,2023-08-21,1045,1014,678490,2,1300.0,0.0
20,2023-02-21,1191,1014,756746,1,150.0,0.0
21,2018-11-17,1197,1038,240932,2,400.0,0.0
22,2021-05-13,1171,1027,728312,2,600.0,0.0
23,2021-03-29,1132,1015,517509,1,300.0,0.0
24,2024-02-20,1039,1036,756746,1,950.0,0.0
25,2024-12-25,1028,1001,536398,1,550.0,0.0
26,2022-07-27,1191,1021,554605,1,150.0,0.0
27,2022-10-08,1070,1008,387010,2,1100.0,0.0
28,2022-04-22,1107,1012,606020,1,350.0,0.0
29,2024-05-11,1182,1030,728312,1,380.0,0.05
30,2021-12-18,1202,1027,606020,1,200.0,0.0
31,2023-08-04,1139,1014,536398,1,300.0,0.0
32,2023-10-04,1120,1031,636916,1,600.0,0.0
33,2024-12-15,1027,1041,728312,1,350.0,0.0
34,2024-07-14,1136,1030,794130,1,270.0,0.1
35,2024-06-04,1070,1037,240932,1,550.0,0.0
36,2024-11-20,1010,1038,606020,1,450.0,0.1
37,2024-10-10,1146,1022,240932,1,350.0,0.0
38,2024-03-26,1016,1041,765544,1,750.0,0.0
39,2022-09-17,1071,1015,554605,1,750.0,0.0
40,2024-12-03,1055,1018,517509,1,500.0,0.0
41,2024-02-21,1108,1036,483036,1,400.0,0.0
42,2024-10-31,1024,1003,688043,1,900.0,0.1
43,2024-11-10,1017,1031,794130,1,900.0,0.0
44,2020-04-19,1173,1004,765544,1,200.0,0.0
